institution_id,display_name
TOMSK_STATE_UNIVERSITY,"National Research Tomsk State University"
UNIVERSIDAD_DE_GRANADA,"Universidad de Granada"
UNIVERSITY_OF_SHARJAH,"University of Sharjah"
IE_UNIVERSITY,"IE University"
IRAN_UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY,"Iran University of Science and Technology"
MURDOCH_UNIVERSITY,"Murdoch University"
UNIVERSITAT_POLITECNICA_DE_VALENCIA,"Universitat Politècnica de València"
VILNIUS_UNIVERSITY,"Vilnius University"
SUTD,"Singapore University of Technology and Design"
UNIVERSITY_OF_PAVIA,"University of Pavia"
COLORADO_STATE_UNIVERSITY,"Colorado State University"
NOVOSIBIRSK_STATE_UNIVERSITY,"Novosibirsk State University"
UNIVERSITA_CATTOLICA_DEL_SACRO_CUORE,"Università Cattolica del Sacro Cuore"
JAMES_COOK_UNIVERSITY,"James Cook University"
JUSTUS_LIEBIG_UNIVERSITY_GIESSEN,"Justus-Liebig-Universität Gießen"
UNIVERSITY_OF_VALENCIA,"Universitat de València"
DALIAN_UNIVERSITY_OF_TECHNOLOGY,"Dalian University of Technology"
HUNAN_UNIVERSITY,"Hunan University"
UNIVERSITY_OF_MONTPELLIER,"Université de Montpellier"
UESTC,"University of Electronic Science and Technology of China"
BEIHANG_UNIVERSITY,"Beihang University"
NATIONAL_TAIWAN_NORMAL_UNIVERSITY,"National Taiwan Normal University"
UNIVERSITY_OF_KANSAS,"University of Kansas"
UNIVERSITY_OF_STIRLING,"University of Stirling"
MIPT,"Moscow Institute of Physics and Technology"
UMEA_UNIVERSITY,"Umeå University"
UNIVERSITY_OF_GUELPH,"University of Guelph"
UNIVERSITY_OF_STRASBOURG,"Université de Strasbourg"
STONY_BROOK_UNIVERSITY,"Stony Brook University"
UNIVERSIDAD_DE_SANTIAGO_DE_CHILE,"Universidad de Santiago de Chile"
TAMPERE_UNIVERSITY,"Tampere University"
UNIVERSITY_OF_SEVILLE,"Universidad de Sevilla"
MACAU_UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY,"Macau University of Science and Technology"
KOBE_UNIVERSITY,"Kobe University"
UNIVERSITAT_RAMON_LLULL,"Universitat Ramon Llull"
UNIVERSITY_AT_BUFFALO,"University at Buffalo SUNY"
